Date,TempMax,TempAvg,TempMin,DewMax,DewAvg,DewMin,HumidityMax,HumidityAvg,HumidityMin,WindMax,WindAvg,WindMin,PressureMax,PressureAvg,PressureMin,RainTotal,DateSeattle,DayBeforeRainSeattle,Season
2262015,49,42.5,38,35,32.5,27,83,68.5,46,15,7.4,0,27.1,27,26.9,0,2252015,0,Winter
2272015,52,42.6,36,32,30.5,28,86,64.1,40,18,9,0,26.9,26.8,26.7,0,2262015,0.19,Winter
2282015,47,39.6,30,37,31.8,24,87,74.5,60,12,5.6,0,27.1,26.9,26.7,0,2272015,0.89,Winter
312015,47,36,28,24,20,15,78,55.1,33,17,5.9,0,27.2,27.1,27,0.05,2282015,0.17,Winter
322015,49,38.7,27,25,20.8,17,75,50.5,34,20,9,0,27,26.9,26.8,0,312015,0,Winter
332015,45,36,29,25,18,12,69,50.3,29,22,13.1,6,27.1,27,26.9,0,322015,0,Winter
342015,45,32,20,16,12.6,9,74,48.6,23,10,3.5,0,27.3,27.3,27.1,0,332015,0,Winter
352015,56,40.1,26,22,17.5,15,63,43.2,23,9,3,0,27.4,27.4,27.3,0,342015,0,Winter
362015,61,45.2,31,26,22.4,19,62,43.1,24,9,4,0,27.4,27.4,27.3,0,352015,0,Winter
372015,62,47.3,35,29,26.5,24,64,46.7,26,9,4.5,0,27.3,27.2,27.1,0,362015,0,Winter
382015,62,47,32,28,25.3,23,73,45.2,23,14,5.8,0,27.2,27.1,27.1,0,372015,0,Winter
392015,64,48.7,35,29,25.1,20,67,43.5,18,9,4.6,0,27.2,27.1,27,0,382015,0,Winter
3102015,71,53.1,37,31,24.1,20,53,34.3,16,12,5.7,0,27.1,27,27,0,392015,0,Winter
3112015,61,54.1,47,43,32,23,74,45,28,15,6.5,0,27.2,27.1,27,0,3102015,0,Winter
3122015,63,53.9,46,44,40.3,37,86,62.8,38,17,6.8,0,27.4,27.3,27.2,0,3112015,0.03,Winter
3132015,69,54.5,41,38,33.8,30,76,49.1,24,17,9.9,0,27.4,27.3,27.2,0,3122015,0.1,Winter
3142015,65,57.8,53,48,38.3,28,75,51.2,27,16,11.6,3,27.2,27.1,27.1,0,3132015,0,Winter
3152015,68,59.3,51,49,42.6,34,92,58,30,16,9.8,0,27.1,27,26.9,0.1,3142015,0.47,Winter
3162015,59,54.1,49,44,40,37,83,60.4,46,14,4.7,0,27.2,27.1,27.1,0.01,3152015,0.42,Winter
3172015,60,51.1,46,44,42.1,39,89,72.9,47,9,5.2,0,27.1,27.1,27,0,3162015,2.1,Winter
3182015,58,48.6,39,41,34.6,30,89,61.3,36,20,8.3,0,27.2,27.2,27.1,0,3172015,0,Winter
3192015,63,49,35,35,30.5,28,78,52,28,8,3,0,27.2,27.2,27.1,0,3182015,0.03,Winter
3202015,70,54.8,39,40,31.5,24,67,44.7,18,13,6.1,0,27.1,27.1,27,0,3192015,0,Winter
3212015,64,55.5,46,39,32.9,26,63,43.9,26,13,6.1,0,27.1,27.1,27,0,3202015,0,Spring
3222015,67,54.2,43,39,27.7,24,59,37.9,21,16,8,0,27.1,27,26.9,0,3212015,0.17,Spring
3232015,53,47.8,39,44,33.4,23,87,59.3,32,21,10.3,0,27.1,27,26.9,0.01,3222015,0.14,Spring
3242015,52,44.3,39,40,32.5,25,93,66.1,36,22,10.5,0,27.3,27.1,27,0.22,3232015,0.04,Spring
3252015,54,43.8,33,35,29.7,26,79,59.7,37,10,3.9,0,27.4,27.4,27.3,0.11,3242015,0.5,Spring
3262015,65,49.5,36,39,36,31,89,63,37,8,3.8,0,27.4,27.4,27.3,0,3252015,0.22,Spring
3272015,77,60,45,45,41,38,77,53.5,26,15,6.6,0,27.3,27.1,27,0,3262015,0.1,Spring
3282015,63,54.8,43,42,32.8,25,74,45.2,26,25,12.2,0,27.3,27.2,27,0,3272015,0,Spring
3292015,66,51.8,38,31,28.3,24,68,43.7,20,9,4.7,0,27.3,27.3,27.2,0,3282015,0.04,Spring
3302015,76,59.2,40,36,30.9,28,70,37.9,17,12,6.1,0,27.2,27.1,26.9,0,3292015,0,Spring
3312015,68,55.3,44,36,30.2,27,55,39.6,26,26,13.3,0,27.1,26.9,26.9,0,3302015,0,Spring
412015,51,43.7,37,32,24.9,19,76,50.3,29,17,10.6,5,27.2,27.2,27.1,0,3312015,0.08,Spring
422015,53,40.8,27,25,21.2,15,78,49.4,24,16,7.5,0,27.3,27.2,27.1,0,412015,0,Spring
432015,57,45.3,31,22,18.8,15,69,39.2,19,14,7.5,0,27.3,27.2,27.1,0,422015,0.2,Spring
442015,56,49,40,34,26.1,16,58,41.4,30,13,5.7,0,27,27,26.9,0,432015,0,Spring
452015,54,46.1,40,39,37,33,89,71.7,47,10,5.9,0,26.8,26.8,26.7,0.11,442015,0.06,Spring
462015,53,44.8,36,39,26.5,18,89,52.7,27,15,5.4,0,26.9,26.9,26.8,0.09,452015,0,Spring
472015,58,47.7,39,35,26.3,18,61,44,35,23,7.5,0,26.9,26.8,26.7,0,462015,0,Spring
482015,59,48.5,43,41,36.3,31,89,65.8,36,20,10.5,0,27.1,26.9,26.8,0.1,472015,0.04,Spring
492015,59,47.8,33,34,30.7,26,85,55.4,28,9,2.5,0,27.1,27.1,27,0.03,482015,0.02,Spring
4102015,68,55.5,43,31,27.6,25,56,36.7,20,14,9.5,0,27.1,27,26.9,0,492015,0,Spring
4112015,57,49.8,42,45,36.6,28,87,62.3,35,17,6,0,27.1,26.9,26.9,0,4102015,0,Spring
4122015,54,43.7,34,32,26.8,19,85,55.9,25,8,4.7,0,27.2,27.2,27.1,0.19,4112015,0.43,Spring
4132015,76,59.2,43,28,24.1,21,45,28.3,15,22,12.5,6,27.1,27,26.7,0,4122015,0,Spring
4142015,60,45.4,36,32,25.8,20,73,48.5,24,26,17.9,0,27.2,27,26.8,0,4132015,0,Spring
4152015,57,43.9,31,28,23.4,19,79,49.2,24,28,16.8,8,27.3,27.2,27.2,0,4142015,0.55,Spring
4162015,62,47,31,29,25.8,23,76,46.7,26,12,5.4,0,27.3,27.2,27.1,0,4152015,0.13,Spring
4172015,71,56.3,40,33,29.8,23,70,40.8,16,12,7.1,0,27.2,27.1,27,0,4162015,0,Spring
4182015,72,59,44,36,29,16,63,36.6,14,25,13.1,0,27.1,27.1,27.1,0,4172015,0,Spring
4192015,69,54,0,31,25.2,0,51,31.9,0,13,5.8,0,27.2,26,0,0,4182015,0,Spring
4202015,73,58.6,43,34,29.5,26,60,36.1,17,13,4.6,0,27,26.9,26.9,0,4192015,0,Spring
4212015,76,60.6,46,36,32,27,59,37.1,18,13,6.1,0,26.9,26.9,26.8,0,4202015,0,Spring
4222015,70,57.2,46,39,33.5,19,71,43.5,26,21,10.6,0,26.9,26.9,26.8,0,4212015,0,Spring
4232015,66,52.5,37,30,22.2,10,53,33.6,13,10,4.4,0,26.9,26.9,26.7,0,4222015,0.22,Spring
4242015,57,51.5,46,43,36.8,28,89,59.5,34,17,9,0,26.8,26.8,26.8,0,4232015,0,Spring
4252015,60,50.1,41,36,29.8,21,73,48.8,22,21,9.7,0,26.9,26.9,26.8,0.04,4242015,0.15,Spring
4262015,60,48.5,35,32,25.5,20,73,45.1,22,22,13,3,27.2,27.1,26.9,0,4252015,0.15,Spring
4272015,68,53,36,29,26.7,25,65,39.4,21,10,3.2,0,27.3,27.3,27.2,0,4262015,0,Spring
4282015,81,64.7,49,33,28.4,21,50,29.4,11,17,10.5,0,27.2,27.1,26.9,0,4272015,0.01,Spring
4292015,71,62.3,51,41,35,22,64,37.8,24,20,11.5,0,27.1,27,26.9,0,4282015,0,Spring
4302015,68,55.1,41,29,25.7,22,57,34.8,18,17,9,0,27.2,27.2,27.1,0,4292015,0.07,Spring
512015,78,60.8,44,32,26.3,15,58,31.5,10,13,6,0,27.1,27,26.9,0,4302015,0,Spring
522015,79,64.4,49,30,26.6,23,41,25.5,14,15,6.4,0,26.9,26.9,26.8,0,512015,0,Spring
532015,79,62.9,47,36,31.3,26,59,34.4,15,16,5.8,0,26.9,26.9,26.8,0,522015,0,Spring
542015,84,69.8,51,40,33.9,30,48,28.5,16,22,7.7,0,26.9,26.9,26.8,0,532015,0,Spring
552015,70,62.3,53,38,28.4,15,48,30.4,12,21,12.8,3,26.9,26.9,26.8,0,542015,0,Spring
562015,62,53,42,31,24.6,17,56,35.6,18,17,12.9,8,26.9,26.9,26.8,0,552015,0.09,Spring
572015,50,46,42,45,38.4,31,90,75.3,54,14,6.4,0,27,26.9,26.9,0,562015,0.15,Spring
582015,73,57.1,47,49,41.5,28,93,63.9,20,18,6.7,0,26.9,26.9,26.8,0.25,572015,0,Spring
592015,75,62.2,46,44,32.2,20,79,39.5,13,23,12,0,27,27,26.9,0.02,582015,0,Spring
5102015,73,60.4,44,31,27.4,24,58,31.5,16,15,6.4,0,27.1,27,26.9,0,592015,0,Spring
5112015,75,63,51,41,32.5,24,46,33,18,18,10.5,3,26.9,26.9,26.8,0,5102015,0,Spring
5122015,75,58.2,47,50,43.5,36,90,61.2,25,24,7,0,26.8,26.8,26.6,0,5112015,0,Spring
5132015,64,54.3,46,44,36.1,0,93,55.6,0,13,4.8,0,27,26.9,26.8,0.32,5122015,0.01,Spring
5142015,71,58.8,48,46,40.7,37,74,53.1,31,12,5.6,0,26.8,26.8,26.6,0,5132015,0.17,Spring
5152015,59,54.5,52,52,49.8,45,100,85,64,15,7.8,0,26.8,26.7,26.7,0.02,5142015,0.16,Spring
5162015,65,55.7,50,48,45.6,43,94,71.2,46,24,15.3,7,26.9,26.8,26.8,0.15,5152015,0.01,Spring
5172015,68,57.3,46,51,46.5,42,90,69.5,42,17,6.2,0,27.1,27,26.9,0,5162015,0,Spring
5182015,70,60.5,51,50,46.3,40,96,62.6,33,8,3.6,0,27.1,27,27,0.05,5172015,0,Spring
5192015,66,58.7,54,55,51.5,47,94,77.7,56,14,5.8,0,27,27,26.9,0.04,5182015,0,Spring
5202015,68,59.5,54,53,50.8,45,97,75,43,20,4.1,0,27,27,26.9,0.38,5192015,0,Spring
5212015,73,63.1,53,50,47,43,80,57.3,35,10,5,0,27,26.9,26.9,0.01,5202015,0,Spring
5222015,72,62.3,52,51,47.3,40,80,59.9,31,8,4.2,0,26.9,26.9,26.9,0,5212015,0,Spring
5232015,77,66.9,54,54,50.5,46,86,58.1,34,21,9.7,0,26.9,26.9,26.9,0,5222015,0,Spring
5242015,78,66,55,52,46.7,40,83,54,25,18,9,0,27,26.9,26.8,0.17,5232015,0,Spring
5252015,77,64.4,54,52,46.7,40,78,55.1,26,18,7.7,0,26.9,26.9,26.9,0,5242015,0,Spring
5262015,77,64.3,52,50,45.7,40,89,55.1,26,12,4.4,0,27,26.9,26.9,0.05,5252015,0,Spring
5272015,75,64,55,52,45.1,39,83,53.2,28,16,7.2,0,27.1,27,27,0,5262015,0,Spring
5282015,78,65.8,50,46,43.4,41,77,47.7,28,10,5.3,0,27.1,27.1,27.1,0.07,5272015,0,Spring
5292015,85,72.7,58,47,41,33,65,36.5,16,20,9.6,5,27.1,27.1,27,0.01,5282015,0,Spring
5302015,80,73.6,66,50,46.5,41,48,38.4,30,15,7.4,0,27,27,26.9,0,5292015,0,Spring
5312015,91,77.2,59,52,46.9,40,78,39.4,17,20,6.2,0,27,26.9,26.8,0,5302015,0,Spring
612015,84,73.3,64,54,46.7,39,64,40.6,20,23,10.9,0,26.9,26.9,26.8,0,5312015,0,Spring
622015,74,65.3,57,50,44.6,39,74,49.1,28,15,6.5,0,27.1,27,26.9,0,612015,0,Spring
632015,74,62.6,51,49,43.7,36,86,55,25,14,7.9,0,27,27,26.9,0,622015,0.18,Spring
642015,78,65.2,52,46,43.6,40,74,49.2,26,17,9.2,0,27,26.9,26.9,0.01,632015,0.02,Spring
652015,81,68.1,55,55,48.8,41,93,54.4,29,31,9.2,0,27,26.9,26.9,0.1,642015,0,Spring
662015,88,72.3,58,54,48.3,41,75,46.6,19,24,8.8,0,27,26.9,26.9,0,652015,0,Spring
672015,88,75.5,60,53,50.6,47,72,44.6,24,12,5,0,27.1,27,27,0,662015,0,Spring
682015,96,83.2,67,53,48.7,41,59,33.4,15,10,5.9,0,27.1,27,26.9,0,672015,0,Spring
692015,98,84.8,71,55,49.8,40,53,32.5,14,15,6.5,0,27,26.9,26.8,0,682015,0,Spring
6102015,87,76.5,71,55,49.3,39,52,39.8,22,9,4.7,0,26.9,26.8,26.8,0,692015,0,Spring
6112015,91,75.9,59,49,39.6,32,69,30.6,13,18,8.8,0,27,26.9,26.9,0,6102015,0,Spring
6122015,86,75,62,43,33.9,23,45,25.4,10,18,11.6,0,27,27,26.9,0,6112015,0,Spring
6132015,82,69.5,54,35,28.2,21,43,23.8,10,16,8.2,0,27,26.9,26.9,0,6122015,0,Spring
6142015,83,69.5,51,37,31,24,52,27.1,14,14,7.3,0,27,26.9,26.9,0.01,6132015,0,Spring
6152015,90,74.5,56,39,36,32,44,26.4,16,13,6.1,0,27,26.9,26.8,0,6142015,0,Spring
6162015,88,76.3,61,44,39.3,33,50,29.3,14,14,5.6,0,27,27,26.9,0,6152015,0,Spring
6172015,92,80.6,63,40,37.1,31,41,22.8,13,14,6.8,0,27,27,26.9,0,6162015,0,Spring
6182015,94,78.6,62,44,40,36,46,27.2,14,14,5.5,0,27,26.9,26.9,0,6172015,0,Spring
6192015,86,75.2,62,45,37,30,46,27.4,14,20,11.2,0,27,27,26.9,0,6182015,0,Spring
6202015,87,72.7,57,43,39.6,36,55,33.3,18,10,6,0,27.1,27,26.9,0,6192015,0,Spring
6212015,89,76.2,63,46,41.5,35,50,30.7,15,25,6.9,0,27,26.9,26.8,0,6202015,0.02,Summer
6222015,87,73.7,57,48,40.9,34,65,35.4,15,14,4.9,0,27.1,27,27,0,6212015,0,Summer
6232015,92,77.5,61,43,39.5,35,52,27.9,13,13,6.2,0,27.1,27,26.9,0,6222015,0,Summer
6242015,91,76.9,61,48,40.9,33,52,31,13,13,6.4,0,27.1,27,27,0,6232015,0,Summer
6252015,93,78.1,62,47,42.8,39,50,31.3,16,15,6.4,0,27.1,27.1,27,0,6242015,0,Summer
6262015,99,83.6,66,49,46.3,42,48,29.5,15,12,5.2,0,27.1,27.1,27,0,6252015,0,Summer
6272015,105,88.9,74,54,45.9,38,38,24.9,10,10,5.4,0,27.1,27,26.9,0,6262015,0,Summer
6282015,109,92.6,74,55,48.3,44,41,23.6,11,10,5.8,0,27,26.9,26.9,0,6272015,0,Summer
6292015,102,90.4,79,57,53.4,50,40,28.9,19,13,6.4,0,27,27,26.9,0.01,6282015,0,Summer
6302015,102,88.7,74,58,51.6,40,53,31,12,14,7.1,0,27.1,27,26.9,0,6292015,0.01,Summer
712015,102,86.2,71,54,47.2,37,51,29.6,13,14,6.5,0,27.1,27,26.9,0,6302015,0,Summer
722015,103,87.6,70,51,44,37,46,24.1,11,14,6.5,0,27.1,27,26.9,0,712015,0,Summer
732015,102,87,71,51,42.8,33,42,24,10,15,6.5,0,27,26.9,26.8,0,722015,0,Summer
742015,100,86.4,71,46,40.5,34,34,21,10,13,6,0,26.9,26.9,26.8,0,732015,0,Summer
752015,83,78.5,73,59,50.8,39,56,38.8,21,10,5.5,0,27,26.9,26.8,0,742015,0,Summer
762015,92,80.8,68,55,50.6,42,59,37.8,18,13,5.8,0,27.1,27,27,0,752015,0,Summer
772015,96,85.4,74,52,47.3,41,40,28.1,15,14,8.7,5,27,26.9,26.9,0,762015,0,Summer
782015,87,73.6,63,61,52.6,45,94,51.8,28,26,11,0,26.9,26.9,26.9,0,772015,0,Summer
792015,86,73.1,64,60,57.1,52,81,59.8,35,20,6.7,0,26.9,26.9,26.8,1.28,782015,0,Summer
7102015,86,71.9,64,58,54.1,48,78,56.1,27,20,6.6,0,26.9,26.9,26.9,0.11,792015,0,Summer
7112015,84,72,63,59,52.3,46,78,52.7,26,24,10.3,0,27,26.9,26.9,0,7102015,0,Summer
7122015,87,70.6,60,61,55.1,44,86,62.6,23,33,7.5,0,27.1,27.1,27,0,7112015,0,Summer
7132015,83,69.4,59,56,52.3,42,87,59.1,24,16,6.4,0,27.1,27.1,27,0,7122015,0,Summer
7142015,85,72,59,57,51.6,46,80,52,27,16,5.9,0,27,27,26.9,0,7132015,0,Summer
7152015,88,75,62,58,50,43,80,45.9,21,13,6.1,0,27,27,26.9,0.01,7142015,0,Summer
7162015,85,74.3,62,51,42.9,38,65,35.1,19,18,8.9,0,27.1,27,26.9,0,7152015,0,Summer
7172015,77,68.5,58,44,40.3,36,56,37.6,23,20,8.8,0,27,27,26.9,0,7162015,0,Summer
7182015,85,71.7,57,45,41.5,35,55,36,17,15,6.4,0,27.1,27,26.9,0,7172015,0,Summer
7192015,92,78,63,48,42.2,36,56,31.3,14,14,6.8,0,27.1,27.1,27,0,7182015,0,Summer
7202015,95,81,65,43,40.5,35,42,25.5,12,12,4.9,0,27.1,27,26.9,0,7192015,0,Summer
7212015,94,80.8,66,55,43.7,39,48,29.2,15,20,5.3,0,27,26.9,26.8,0,7202015,0,Summer
7222015,89,75.9,66,59,53.3,47,76,47.8,24,15,6.2,0,26.9,26.9,26.8,0.02,7212015,0,Summer
7232015,90,77.4,63,58,50.6,44,84,43.1,21,13,7.2,0,27,26.9,26.9,0,7222015,0,Summer
7242015,90,78.3,63,52,45.4,37,63,34.9,15,10,5.6,0,27.1,27,27,0,7232015,0,Summer
7252015,90,78.2,66,47,42.8,38,50,30.2,16,13,6,0,27.1,27,26.9,0,7242015,0,Summer
7262015,85,72.2,61,50,46.6,43,64,42.2,25,21,11,5,27,26.9,26.9,0,7252015,0.01,Summer
7272015,75,66.3,56,46,37.8,31,57,37.1,20,21,13.9,5,27.2,27.1,26.9,0,7262015,0,Summer
7282015,80,66.4,51,39,35.4,25,59,34.9,13,10,5,0,27.3,27.2,27.2,0.01,7272015,0.08,Summer
7292015,89,74.1,58,38,34.2,29,46,26.3,12,12,5.8,0,27.3,27.2,27.1,0.01,7282015,0,Summer
7302015,94,78.9,62,40,35.2,31,41,23.2,11,9,5.4,0,27.3,27.2,27.1,0,7292015,0,Summer
7312015,98,82.8,66,42,37.8,35,37,21.7,11,13,5.4,0,27.2,27.1,27,0,7302015,0,Summer
812015,103,86.8,69,41,35.8,31,31,17.8,8,10,6,0,27.1,27,26.9,0,7312015,0,Summer
822015,101,86,70,51,40.1,35,30,20.8,11,10,4.8,0,27,26.9,26.8,0,812015,0,Summer
832015,92,83.2,76,50,47.3,43,37,29,20,18,4.7,0,27,26.9,26.8,0,822015,0,Summer
842015,91,77.9,66,55,49.8,42,66,40.1,18,29,9.7,0,27.1,27,26.9,0,832015,0,Summer
852015,84,75.4,68,61,52.1,41,71,47.2,22,17,7.4,0,27,27,26.9,0.03,842015,0,Summer
862015,85,72,60,52,38.5,25,67,34.1,12,16,6.9,0,27.1,27,26.9,0,852015,0,Summer
872015,82,70.5,58,48,40.6,31,49,34.8,22,16,6.3,0,27,26.9,26.9,0,862015,0,Summer
882015,86,74.3,62,54,48.7,45,75,43.5,24,25,10.9,0,27,27,26.9,0,872015,0,Summer
892015,93,81.3,66,47,43.1,39,47,27.9,16,20,12.2,8,27.1,27,26.9,0,882015,0,Summer
8102015,95,83.1,69,55,46.7,41,61,30.1,16,37,11.7,0,27,26.9,26.9,0,892015,0,Summer
8112015,100,85.2,66,51,44.2,38,48,26.4,12,30,10.5,3,27,26.9,26.9,0.19,8102015,0,Summer
8122015,101,88.7,76,50,43.8,38,38,22.6,11,16,9.5,0,27.1,27,26.9,0,8112015,0,Summer
8132015,105,90.3,73,50,43,31,39,21.5,8,26,10.4,0,27.1,27,26.9,0,8122015,0,Summer
8142015,97,86.8,74,53,44.2,29,38,23.9,12,31,11.9,3,27.1,27,26.9,0,8132015,0.3,Summer
8152015,83,71.1,60,47,40.8,29,60,36.3,15,15,6.9,0,27.2,27.1,27.1,0,8142015,0,Summer
8162015,86,72,57,41,35.8,31,42,27.6,15,14,6.5,0,27.1,27.1,27,0,8152015,1.2,Summer
8172015,86,70.5,55,42,37,30,55,32.7,13,16,6.2,0,27.1,27,27,0.01,8162015,0,Summer
8182015,87,71.7,56,43,39.4,37,53,33.6,17,16,6.7,0,27.1,27,27,0,8172015,0,Summer
8192015,86,73.9,62,42,40,38,48,30.8,18,10,4.9,0,27,27,26.9,0,8182015,0,Summer
8202015,92,76.3,61,46,40.1,32,48,29.6,13,10,5.1,0,27,26.9,26.8,0,8192015,0,Summer
8212015,88,74.5,60,40,34,26,36,24.2,14,15,8.6,0,26.9,26.9,26.8,0,8202015,0,Summer
8222015,82,68.3,53,40,33.7,23,59,30.5,15,15,6.3,0,27.1,27.1,27,0,8212015,0.08,Summer
8232015,90,74.1,59,39,33,30,35,23.7,13,13,6,0,27.1,27.1,27,0,8222015,0,Summer
8242015,96,79.2,63,41,37.2,33,43,23.6,12,13,5.2,0,27.1,27,26.9,0.01,8232015,0,Summer
